123■001005■치즈팝콘(M)■5000■1■2019-03-13 20:49:00■0■1■
123■001006■매콤한팝콘(M)■4400■1■2019-03-13 20:49:00■600■1■
tjdwls■001002■고소팝콘(L)■5000■1■2019-03-14 09:11:34■0■1■
tjdwls■001003■달콤팝콘(M)■5000■1■2019-03-14 09:11:50■0■1■
tjdwls■﻿001001■고소팝콘(M)■4500■1■2019-03-14 09:11:50■0■1■
tjdwls■002013■환타포도(M)■2000■1■2019-03-14 11:42:27■0■2■
tjdwls■﻿001001■고소팝콘(M)■9000■2■2019-03-14 11:58:23■0■1■
tjdwls■003028■아메리카노(ICE, L)■4000■1■2019-03-14 14:26:39■0■1■
tjdwls■003027■아메리카노(ICE, M)■3000■1■2019-03-14 14:27:25■0■1■
tjdwls■004032■쌍용콤보(팝콘L1+음료M2)■8000■1■2019-03-14 14:28:37■0■1■
tjdwls■004031■쌍용콤보(팝콘L1+음료M2)■8000■1■2019-03-14 14:28:37■0■1■
tjdwls■001002■고소팝콘(L)■4900■1■2019-03-15 09:03:25■100■1■
tjdwls■001003■달콤팝콘(M)■5000■1■2019-03-15 09:03:25■0■1■
tjdwls■001002■고소팝콘(L)■9900■2■2019-03-15 09:04:10■100■1■
tjdwls■001002■고소팝콘(L)■9900■2■2019-03-15 09:23:19■100■1■
